DATE,PERMIT5
1999-01-01,392
1999-02-01,361
1999-03-01,361
1999-04-01,308
1999-05-01,328
1999-06-01,362
1999-07-01,344
1999-08-01,362
1999-09-01,289
1999-10-01,378
1999-11-01,370
1999-12-01,355
2000-01-01,386
2000-02-01,381
2000-03-01,333
2000-04-01,344
2000-05-01,291
2000-06-01,355
2000-07-01,333
2000-08-01,311
2000-09-01,314
2000-10-01,285
2000-11-01,340
2000-12-01,303
2001-01-01,387
2001-02-01,345
2001-03-01,358
2001-04-01,342
2001-05-01,356
2001-06-01,293
2001-07-01,301
2001-08-01,309
2001-09-01,319
2001-10-01,321
2001-11-01,360
2001-12-01,356
2002-01-01,311
2002-02-01,320
2002-03-01,330
2002-04-01,316
2002-05-01,356
2002-06-01,362
2002-07-01,362
2002-08-01,306
2002-09-01,345
2002-10-01,346
2002-11-01,319
2002-12-01,409
2003-01-01,303
2003-02-01,417
2003-03-01,324
2003-04-01,327
2003-05-01,364
2003-06-01,335
2003-07-01,330
2003-08-01,362
2003-09-01,336
2003-10-01,366
2003-11-01,311
2003-12-01,362
2004-01-01,320
2004-02-01,315
2004-03-01,318
2004-04-01,359
2004-05-01,386
2004-06-01,322
2004-07-01,386
2004-08-01,364
2004-09-01,375
2004-10-01,417
2004-11-01,415
2004-12-01,379
2005-01-01,409
2005-02-01,395
2005-03-01,402
2005-04-01,421
2005-05-01,360
2005-06-01,408
2005-07-01,385
2005-08-01,416
2005-09-01,377
2005-10-01,344
2005-11-01,406
2005-12-01,375
2006-01-01,422
2006-02-01,413
2006-03-01,484
2006-04-01,424
2006-05-01,374
2006-06-01,402
2006-07-01,378
2006-08-01,363
2006-09-01,365
2006-10-01,326
2006-11-01,314
2006-12-01,368
2007-01-01,382
2007-02-01,392
2007-03-01,380
2007-04-01,352
2007-05-01,387
2007-06-01,355
2007-07-01,326
2007-08-01,348
2007-09-01,356
2007-10-01,321
2007-11-01,377
2007-12-01,350
2008-01-01,344
2008-02-01,309
2008-03-01,287
2008-04-01,306
2008-05-01,326
2008-06-01,540
2008-07-01,316
2008-08-01,282
2008-09-01,232
2008-10-01,234
2008-11-01,186
2008-12-01,169
2009-01-01,185
2009-02-01,161
2009-03-01,131
2009-04-01,109
2009-05-01,104
2009-06-01,118
2009-07-01,87
2009-08-01,105
2009-09-01,113
2009-10-01,95
2009-11-01,114
2009-12-01,138
2010-01-01,111
2010-02-01,120
2010-03-01,128
2010-04-01,143
2010-05-01,120
2010-06-01,139
2010-07-01,147
2010-08-01,156
2010-09-01,131
2010-10-01,129
2010-11-01,122
2010-12-01,160
2011-01-01,134
2011-02-01,147
2011-03-01,168
2011-04-01,155
2011-05-01,185
2011-06-01,201
2011-07-01,182
2011-08-01,192
2011-09-01,164
2011-10-01,209
2011-11-01,235
2011-12-01,216
2012-01-01,229
2012-02-01,221
2012-03-01,299
2012-04-01,224
2012-05-01,279
2012-06-01,271
2012-07-01,298
2012-08-01,295
2012-09-01,340
2012-10-01,292
2012-11-01,318
2012-12-01,329
2013-01-01,322
2013-02-01,333
2013-03-01,300
2013-04-01,363
2013-05-01,351
2013-06-01,285
2013-07-01,348
2013-08-01,303
2013-09-01,351
2013-10-01,392
2013-11-01,361
2013-12-01,372
2014-01-01,332.0
2014-02-01,406.0
2014-03-01,416.0
2014-04-01,442.0
2014-05-01,360.0
2014-06-01,321.0
2014-07-01,399.0
2014-08-01,362.0
2014-09-01,389.0
2014-10-01,415.0
2014-11-01,373
2014-12-01,378.0
2015-01-01,362.0
2015-02-01,472.0
2015-03-01,387.0
2015-04-01,454.0
2015-05-01,535.0
2015-06-01,638.0
2015-07-01,410
2015-08-01,417.0
2015-09-01,395.0
2015-10-01,404.0
2015-11-01,487.0
2015-12-01,456.0
2016-01-01,402.0
2016-02-01,429.0
2016-03-01,345.0
2016-04-01,375.0
2016-05-01,415.0
2016-06-01,430.0
2016-07-01,438.0
2016-08-01,421.0
2016-09-01,495.0
2016-10-01,472.0
2016-11-01,420.0
2016-12-01,400.0
2017-01-01,476.0
2017-02-01,377.0
2017-03-01,418.0
2017-04-01,422.0
2017-05-01,380.0
2017-06-01,474.0
2017-07-01,407.0
2017-08-01,471.0
2017-09-01,397.0
2017-10-01,463.0
2017-11-01,403.0
2017-12-01,400.0
2018-01-01,445.0
2018-02-01,407.0
2018-03-01,508.0
2018-04-01,478.0
2018-05-01,435.0
2018-06-01,422.0
2018-07-01,421.0
2018-08-01,397.0
2018-09-01,396.0
2018-10-01,398.0
2018-11-01,436.0
2018-12-01,476.0
2019-01-01,445.0
2019-02-01,454.0
2019-03-01,454.0
2019-04-01,488.0
2019-05-01,467.0
2019-06-01,387.0
2019-07-01,471.0
2019-08-01,542.0
2019-09-01,509.0
2019-10-01,539.0
2019-11-01,530.0
2019-12-01,472.0
2020-01-01,527.0
2020-02-01,421.0
2020-03-01,440.0
2020-04-01,387.0
2020-05-01,449.0
2020-06-01,405.0
2020-07-01,500.0
2020-08-01,414.0
2020-09-01,422.0
2020-10-01,394.0
2020-11-01,487.0
2020-12-01,476.0
2021-01-01,560.0
